pressure,region,color
light-pollution,coastal,#4A5584FF
light-pollution,global,#9C9EDEFF
oxygen-surface,coastal,#4E79A7FF
oxygen-surface,global,#A0CBE8FF
nutrient-input,coastal,#F28E2BFF
nutrient-input,global,#FFBE7DFF
npp,coastal,#59A14FFF
npp,global,#8CD17DFF
air-heat-index,coastal,#B6992DFF
air-heat-index,global,#F1CE63FF
slr,coastal,#499894FF
slr,global,#86BCB6FF
coastal-disturbance,coastal,#E15759FF
coastal-disturbance,global,#FF9D9AFF
oxygen-deep,coastal,#79706EFF
oxygen-deep,global,#BAB0ACFF
oa,coastal,#D37295FF
oa,global,#FABFD2FF
fisheries-biomass-loss,coastal,#B07AA1FF
fisheries-biomass-loss,global,#D4A6C8FF
sst-extremes,coastal,#9D7660FF
sst-extremes,global,#D7B5A6FF
